# t,event_type,mode,packet_id
0.0,plantsend,1,0
0.0120418,controllerreceive,1,0
0.02,plantsend,1,1
0.020945,plantreceive,1,0
0.0303181,controllerreceive,1,1
0.0390807,plantreceive,1,1
0.04,plantsend,1,2
0.048234,controllerreceive,1,2
0.0570723,plantreceive,1,2
0.06,plantsend,1,3
0.0683034,controllerreceive,1,3
0.0770824,plantreceive,1,3
0.08,plantsend,1,4
0.0898572,controllerreceive,1,4
0.0985681,plantreceive,1,4
0.1,plantsend,1,5
0.109549,controllerreceive,1,5
0.11824,plantreceive,1,5
0.12,plantsend,1,6
0.130091,controllerreceive,1,6
0.138786,plantreceive,1,6
0.14,plantsend,1,7
0.148474,controllerreceive,1,7
0.157419,plantreceive,1,7
0.16,plantsend,1,8
0.169289,controllerreceive,1,8
0.178043,plantreceive,1,8
0.18,plantsend,1,9
0.189521,controllerreceive,1,9
0.198395,plantreceive,1,9
0.2,plantsend,1,10
0.214159,controllerreceive,1,10
0.22,plantsend,1,11
0.222935,plantreceive,1,10
0.228224,controllerreceive,1,11
0.237066,plantreceive,1,11
0.24,plantsend,1,12
0.250051,controllerreceive,1,12
0.258944,plantreceive,1,12
0.26,plantsend,1,13
0.268526,controllerreceive,1,13
0.27739,plantreceive,1,13
0.28,plantsend,1,14
0.289923,controllerreceive,1,14
0.298728,plantreceive,1,14
0.3,plantsend,1,15
0.307987,controllerreceive,1,15
0.316825,plantreceive,1,15
0.32,plantsend,1,16
0.329293,controllerreceive,1,16
0.33814,plantreceive,1,16
0.34,plantsend,1,17
0.34916,controllerreceive,1,17
0.357958,plantreceive,1,17
0.36,plantsend,1,18
0.369609,controllerreceive,1,18
0.378485,plantreceive,1,18
0.38,plantsend,1,19
0.391483,controllerreceive,1,19
0.4,plantsend,1,20
0.400318,plantreceive,1,19
0.407835,controllerreceive,1,20
0.416671,plantreceive,1,20
0.42,plantsend,1,21
0.428434,controllerreceive,1,21
0.437139,plantreceive,1,21
0.44,plantsend,1,22
0.448372,controllerreceive,1,22
0.457248,plantreceive,1,22
0.46,plantsend,1,23
0.469162,controllerreceive,1,23
0.478087,plantreceive,1,23
0.48,plantsend,1,24
0.488024,controllerreceive,1,24
0.497007,plantreceive,1,24
0.5,plantsend,1,25
0.507292,controllerreceive,1,25
0.516305,plantreceive,1,25
0.52,plantsend,1,26
0.527999,controllerreceive,1,26
0.536878,plantreceive,1,26
0.54,plantsend,1,27
0.548305,controllerreceive,1,27
0.557199,plantreceive,1,27
0.56,plantsend,1,28
0.568165,controllerreceive,1,28
0.577064,plantreceive,1,28
0.58,plantsend,1,29
0.58921,controllerreceive,1,29
0.598112,plantreceive,1,29
0.6,plantsend,1,30
0.60818,controllerreceive,1,30
0.615128,plantreceive,1,30
0.62,plantsend,1,31
0.628129,controllerreceive,1,31
0.637057,plantreceive,1,31
0.64,plantsend,1,32
0.648936,controllerreceive,1,32
0.657771,plantreceive,1,32
0.66,plantsend,1,33
0.669624,controllerreceive,1,33
0.678453,plantreceive,1,33
0.68,plantsend,1,34
0.688521,controllerreceive,1,34
0.697195,plantreceive,1,34
0.7,plantsend,1,35
0.708331,controllerreceive,1,35
0.717096,plantreceive,1,35
0.72,plantsend,1,36
0.727604,controllerreceive,1,36
0.736377,plantreceive,1,36
0.74,plantsend,1,37
0.74981,controllerreceive,1,37
0.758605,plantreceive,1,37
0.76,plantsend,1,38
0.768404,controllerreceive,1,38
0.775309,plantreceive,1,38
0.78,plantsend,1,39
0.78808,controllerreceive,1,39
0.796965,plantreceive,1,39
0.8,plantsend,1,40
0.8082,controllerreceive,1,40
0.817151,plantreceive,1,40
0.82,plantsend,1,41
0.828848,controllerreceive,1,41
0.837494,plantreceive,1,41
0.84,plantsend,1,42
0.849285,controllerreceive,1,42
0.856116,plantreceive,1,42
0.86,plantsend,1,43
0.868331,controllerreceive,1,43
0.877356,plantreceive,1,43
0.88,plantsend,1,44
0.888302,controllerreceive,1,44
0.897334,plantreceive,1,44
0.9,plantsend,1,45
0.912022,controllerreceive,1,45
0.92,plantsend,1,46
0.920932,plantreceive,1,45
0.932356,controllerreceive,1,46
0.94,plantsend,1,47
0.941265,plantreceive,1,46
0.948755,controllerreceive,1,47
0.957555,plantreceive,1,47
0.96,plantsend,1,48
0.968249,controllerreceive,1,48
0.977157,plantreceive,1,48
0.98,plantsend,1,49
0.988024,controllerreceive,1,49
0.996891,plantreceive,1,49
1.0,plantsend,1,50
1.00947,controllerreceive,1,50
1.01636,plantreceive,1,50
1.02,plantsend,1,51
1.02788,controllerreceive,1,51
1.03672,plantreceive,1,51
1.04,plantsend,1,52
1.04792,controllerreceive,1,52
1.05678,plantreceive,1,52
1.06,plantsend,1,53
1.06935,controllerreceive,1,53
1.07823,plantreceive,1,53
1.08,plantsend,1,54
1.08933,controllerreceive,1,54
1.09822,plantreceive,1,54
1.1,plantsend,1,55
1.10816,controllerreceive,1,55
1.11696,plantreceive,1,55
1.12,plantsend,1,56
1.12972,controllerreceive,1,56
1.13842,plantreceive,1,56
1.14,plantsend,1,57
1.14812,controllerreceive,1,57
1.15677,plantreceive,1,57
1.16,plantsend,1,58
1.16899,controllerreceive,1,58
1.17782,plantreceive,1,58
1.18,plantsend,1,59
1.18778,controllerreceive,1,59
1.19662,plantreceive,1,59
1.2,plantsend,1,60
1.20832,controllerreceive,1,60
1.21736,plantreceive,1,60
1.22,plantsend,1,61
1.22948,controllerreceive,1,61
1.23828,plantreceive,1,61
1.24,plantsend,1,62
1.2481,controllerreceive,1,62
1.25695,plantreceive,1,62
1.26,plantsend,1,63
1.26826,controllerreceive,1,63
1.27717,plantreceive,1,63
